UNO Synth Pro MIDI Monitor v1.1 State Read
UNO IN: 0: UNO Synth Pro
UNO OUT: 1: UNO Synth Pro
EDITOR OUT/TAP IN: 1: UNO_TAP
EDITOR IN/RETURN OUT: 3: UNO_RETURN
Clock captured: False
Active Sense captured: False
REC	TIME	DIRECTION	TYPE	BYTES	HEX	DECODED
46	5.955334	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 2C 54 4F 55 43 48 20 4C 45 41 44 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
47	5.987659	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 2D 48 45 52 44 20 50 41 44 00 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
48	6.015445	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 2E 53 41 4E 44 00 20 20 20 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
49	6.042919	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 2F 54 4F 59 53 00 20 20 20 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
50	6.071613	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 30 4D 57 20 42 49 47 20 42 41 4D 42 4F 4F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
51	6.105530	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 31 42 4C 41 44 45 20 53 45 51 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
52	6.136001	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 32 54 2D 42 41 53 53 00 20 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
53	6.162524	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 33 34 54 48 20 4A 55 4C 59 00 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
54	6.191761	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 34 46 41 4B 45 20 38 30 38 00 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
55	6.220511	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 35 46 4D 20 4C 45 41 44 00 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
